title,published_date,duration_seconds,views,likes,comments,engagement_rate,upload_month,published_year,published_month
Lạc Trôi | Making MV | Sơn Tùng M-TP,2017-01-07 00:00:00+00:00,590,5212720,128240,9780,0.02647754,2017-01,2017,1
LẠC TRÔI | PIANO VERSION | SƠN TÙNG M-TP,2017-01-04 00:00:00+00:00,169,2531227,49700,2893,0.02077767,2017-01,2017,1
LẠC TRÔI | OFFICIAL MUSIC VIDEO | SƠN TÙNG M-TP,2016-12-31 00:00:00+00:00,273,281153633,1877828,298562,0.007740928,2016-12,2016,12
Trực Tiếp: Họp Báo Ra Mắt Dự Án Âm Nhạc Lạc Trôi Và Mini Concert Sơn Tùng M-TP,2016-12-31 00:00:00+00:00,3906,1501998,18931,1417,0.013547288,2016-12,2016,12
LẠC TRÔI | TEASER MUSIC VIDEO | SƠN TÙNG M-TP,2016-12-16 00:00:00+00:00,39,2416714,32229,3348,0.014721229,2016-12,2016,12
SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 4,2016-11-22 00:00:00+00:00,1435,848195,16234,1274,0.02064148,2016-11,2016,11
SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 3,2016-11-20 00:00:00+00:00,1459,696841,16313,1208,0.025143469,2016-11,2016,11
SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 2,2016-11-18 00:00:00+00:00,1864,843594,16296,1317,0.020878527,2016-11,2016,11
SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 1,2016-11-16 00:00:00+00:00,1463,1371274,26621,2514,0.021246666,2016-11,2016,11
SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | TRAILER,2016-11-12 00:00:00+00:00,214,316743,10488,998,0.036262838,2016-11,2016,11
Chúng Ta Không Thuộc Về Nhau | Official Music Video | Sơn Tùng M-TP,2016-08-02 00:00:00+00:00,243,237742671,1276009,211044,0.006254885,2016-08,2016,8
CHÚNG TA KHÔNG THUỘC VỀ NHAU | DEBUT ONSTAGE | LIVE STREAMING,2016-08-02 00:00:00+00:00,3284,1958514,23940,1431,0.012954209,2016-08,2016,8
Chúng Ta Không Thuộc Về Nhau | TEASER MUSIC VIDEO | Sơn Tùng M-TP,2016-07-26 00:00:00+00:00,36,2345045,23645,2652,0.011213857,2016-07,2016,7
Nắng Ấm Xa Dần - Sơn Tùng M-TP,2016-07-25 00:00:00+00:00,192,41133644,150041,6880,0.003814906,2016-07,2016,7
Thái Bình Mồ Hôi Rơi - Sơn Tùng M-TP,2016-07-25 00:00:00+00:00,319,13275866,120849,7710,0.009683662,2016-07,2016,7
Chắc Ai Đó Sẽ Về | Sơn Tùng M-TP | Stage Version | Đà Lạt,2016-02-23 00:00:00+00:00,286,180468,3158,122,0.018174967,2016-02,2016,2
Nắng Ấm Xa Dần | Sơn Tùng M-TP | Stage Version | Đà Lạt,2016-02-22 00:00:00+00:00,206,181425,3584,147,0.020564972,2016-02,2016,2
Buông Đôi Tay Nhau Ra | Sơn Tùng M-TP | Stage Version | Đà Lạt,2016-02-22 00:00:00+00:00,280,205675,2930,93,0.014697946,2016-02,2016,2
Fancam | Sơn Tùng M-TP Tại Sân Bay Đà Lạt 2016,2016-02-22 00:00:00+00:00,85,185938,3685,143,0.020587508,2016-02,2016,2
Khuôn Mặt Đáng Thương | Stage Version | Sơn Tùng M-TP,2016-02-02 00:00:00+00:00,245,328421,4900,162,0.015413143,2016-02,2016,2
Buông Đôi Tay Nhau Ra | Stage Version | Sơn Tùng M-TP,2016-02-02 00:00:00+00:00,314,253395,3327,142,0.013690089,2016-02,2016,2
Em Của Ngày Hôm Qua | Stage Version | Sơn Tùng M-TP,2016-02-02 00:00:00+00:00,391,168230,3258,214,0.020638412,2016-02,2016,2
VIRAL CLIP - MỘT NĂM MỚI BÌNH AN | SƠN TÙNG M-TP,2016-01-23 00:00:00+00:00,253,105254783,512280,38438,0.005232237,2016-01,2016,1
SƠN TÙNG M-TP | MỘT NĂM MỚI BÌNH AN [Teaser],2016-01-16 00:00:00+00:00,31,229525,5402,264,0.024685764,2016-01,2016,1
Buông Đôi Tay Nhau Ra | Stage Version | Sơn Tùng M-TP,2016-01-07 00:00:00+00:00,209,966232,8662,444,0.009424238,2016-01,2016,1
Em Của Ngày Hôm Qua | Stage Version | Sơn Tùng M-TP,2016-01-07 00:00:00+00:00,222,312747,4000,152,0.013275907,2016-01,2016,1
Sơn Tùng M-TP | Buổi Fan Meeting Tại Hà Nội,2016-01-07 00:00:00+00:00,372,193369,2975,108,0.01594361,2016-01,2016,1
Sơn Tùng M-TP | Không Còn Mùa Thu,2016-01-05 00:00:00+00:00,101,347024,5428,201,0.01622078,2016-01,2016,1
Sky Hát Tặng Sơn Tùng M-TP Fan Meeting In Hanoi,2016-01-05 00:00:00+00:00,110,102530,2935,142,0.030010729,2016-01,2016,1
Sơn Tùng M-TP Về Thăm Thái Bình,2016-01-03 00:00:00+00:00,239,840887,6617,330,0.008261514,2016-01,2016,1
Sơn Tùng M-TP | Buổi Họp Mặt Offline Tại Jollibee,2016-01-03 00:00:00+00:00,216,275773,4561,147,0.017072012,2016-01,2016,1
Sky Hát Tặng Sơn Tùng M-TP Tại Buổi Fan Meeting Thái Bình,2015-12-31 00:00:00+00:00,23,112468,2582,65,0.023535583,2015-12,2015,12
Sơn Tùng M-TP | Making The Show,2015-12-29 00:00:00+00:00,164,110529,3738,123,0.034932009,2015-12,2015,12
Sơn Tùng M-TP | Merry Christmas,2015-12-25 00:00:00+00:00,186,247516,6562,291,0.027687099,2015-12,2015,12
Đêm Trao Giải Làn Sóng Xanh lần thứ 18 - 2015 | Sơn Tùng M-TP,2015-12-21 00:00:00+00:00,122,309016,5443,229,0.018355037,2015-12,2015,12
Buổi Tập Luyện Làn Sóng Xanh 2015 | Sơn Tùng M-TP,2015-12-19 00:00:00+00:00,105,176808,4582,140,0.026706936,2015-12,2015,12
M-TP |  Tuyển tập các ca khúc Sơn Tùng | His Music Journey,2015-12-16 00:00:00+00:00,8998,16467571,117196,4842,0.007410808,2015-12,2015,12
Buông Đôi Tay Nhau Ra | OFFICIAL MUSIC VIDEO | Sơn Tùng M-TP,2015-12-02 00:00:00+00:00,290,160831902,748964,74953,0.005122846,2015-12,2015,12
SƠN TÙNG M-TP CHUẨN BỊ CHO RA BÀI HIT MỚI,2015-11-19 00:00:00+00:00,38,346242,4803,148,0.014299247,2015-11,2015,11
2015.10.08 SƠN TÙNG | HỌP BÁO Liveshow MTV Vietnam EMA Connection,2015-10-09 00:00:00+00:00,79,103167,3024,158,0.030843196,2015-10,2015,10
Âm Thầm Bên Em | OFFICIAL MUSIC VIDEO | Sơn Tùng M-TP,2015-08-21 00:00:00+00:00,850,167945535,933055,98510,0.006142259,2015-08,2015,8
TVC OISHI C+ | Sơn Tùng M-TP | 30'' version,2015-08-21 00:00:00+00:00,30,942748,9280,314,0.010176633,2015-08,2015,8
Âm Thầm Bên Em | Behind The Scenes,2015-08-17 00:00:00+00:00,157,868656,8305,496,0.010131744,2015-08,2015,8
Sơn Tùng M-TP | Âm Thầm Bên Em (Official MV Teaser),2015-08-06 00:00:00+00:00,60,1063633,10704,637,0.010662512,2015-08,2015,8
Âm Thầm Bên Em | Sơn Tùng M-TP | LIVE STREAMING | BẢN CHÍNH THỨC,2015-08-06 00:00:00+00:00,1180,5809955,39122,1681,0.007022946,2015-08,2015,8
Sơn Tùng M-TP | Tiến Lên Việt Nam Ơi! | Bản Chính Thức,2015-06-16 00:00:00+00:00,218,5226277,66222,3891,0.013415477,2015-06,2015,6
Sơn Tùng M-TP | Tiến Lên Việt Nam Ơi!  (TEASING VERSION),2015-06-12 00:00:00+00:00,34,385142,7509,385,0.020496336,2015-06,2015,6
Sơn Tùng M-TP: Save the date 05/07/2015,2015-05-21 00:00:00+00:00,137,568167,9416,550,0.017540617,2015-05,2015,5
MÓN QUÀ ĐẶC BIỆT CỦA M-TP (Phần 2),2015-04-25 00:00:00+00:00,993,1922224,18867,1730,0.010715192,2015-04,2015,4
MÓN QUÀ ĐẶC BIỆT CỦA M-TP (Phần 1),2015-04-23 00:00:00+00:00,719,2226486,21431,960,0.010056654,2015-04,2015,4
Sơn Tùng M-TP - Chắc Ai Đó Sẽ Về,2015-01-30 00:00:00+00:00,315,55852134,375436,31132,0.007279364,2015-01,2015,1
